filename,emotion
8/session1/neutral/8.1.neutral-01.wav,neutral
8/session1/neutral/8.1.neutral-08.wav,neutral
8/session1/neutral/8.1.neutral-04.wav,neutral
8/session1/neutral/8.1.neutral-05.wav,neutral
8/session1/neutral/8.1.neutral-09.wav,neutral
8/session1/neutral/8.1.neutral-10.wav,neutral
8/session1/neutral/8.1.neutral-07.wav,neutral
8/session1/neutral/8.1.neutral-02.wav,neutral
8/session1/neutral/8.1.neutral-06.wav,neutral
8/session1/neutral/8.1.neutral-03.wav,neutral
8/session1/sarcastic/8.1.sarcastic-03.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-10.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-01.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-02.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-08.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-05.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-04.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-06.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-09.wav,sarcastic
8/session1/sarcastic/8.1.sarcastic-07.wav,sarcastic
8/session1/happy/8.1.happy-10.wav,happy
8/session1/happy/8.1.happy-07.wav,happy
8/session1/happy/8.1.happy-04.wav,happy
8/session1/happy/8.1.happy-06.wav,happy
8/session1/happy/8.1.happy-03.wav,happy
8/session1/happy/8.1.happy-05.wav,happy
8/session1/happy/8.1.happy-02.wav,happy
8/session1/happy/8.1.happy-01.wav,happy
8/session1/happy/8.1.happy-08.wav,happy
8/session1/happy/8.1.happy-09.wav,happy
8/session1/surprise/8.1.surprise-10.wav,surprise
8/session1/surprise/8.1.surprise-02.wav,surprise
8/session1/surprise/8.1.surprise-07.wav,surprise
8/session1/surprise/8.1.surprise-01.wav,surprise
8/session1/surprise/8.1.surprise-09.wav,surprise
8/session1/surprise/8.1.surprise-05.wav,surprise
8/session1/surprise/8.1.surprise-08.wav,surprise
8/session1/surprise/8.1.surprise-06.wav,surprise
8/session1/surprise/8.1.surprise-03.wav,surprise
8/session1/surprise/8.1.surprise-04.wav,surprise
8/session1/sad/8.1.sad-02.wav,sad
8/session1/sad/8.1.sad-04.wav,sad
8/session1/sad/8.1.sad-09.wav,sad
8/session1/sad/8.1.sad-07.wav,sad
8/session1/sad/8.1.sad-05.wav,sad
8/session1/sad/8.1.sad-10.wav,sad
8/session1/sad/8.1.sad-01.wav,sad
8/session1/sad/8.1.sad-06.wav,sad
8/session1/sad/8.1.sad-08.wav,sad
8/session1/sad/8.1.sad-03.wav,sad
8/session1/anger/8.1.anger-08.wav,anger
8/session1/anger/8.1.anger-05.wav,anger
8/session1/anger/8.1.anger-06.wav,anger
8/session1/anger/8.1.anger-04.wav,anger
8/session1/anger/8.1.anger-01.wav,anger
8/session1/anger/8.1.anger-10.wav,anger
8/session1/anger/8.1.anger-07.wav,anger
8/session1/anger/8.1.anger-09.wav,anger
8/session1/anger/8.1.anger-02.wav,anger
8/session1/anger/8.1.anger-03.wav,anger
8/session1/disgust/8.1.disgust-02.wav,disgust
8/session1/disgust/8.1.disgust-04.wav,disgust
8/session1/disgust/8.1.disgust-01.wav,disgust
8/session1/disgust/8.1.disgust-08.wav,disgust
8/session1/disgust/8.1.disgust-09.wav,disgust
8/session1/disgust/8.1.disgust-06.wav,disgust
8/session1/disgust/8.1.disgust-10.wav,disgust
8/session1/disgust/8.1.disgust-05.wav,disgust
8/session1/disgust/8.1.disgust-03.wav,disgust
8/session1/disgust/8.1.disgust-07.wav,disgust
8/session1/fear/8.1.fear-05.wav,fear
8/session1/fear/8.1.fear-07.wav,fear
8/session1/fear/8.1.fear-03.wav,fear
8/session1/fear/8.1.fear-01.wav,fear
8/session1/fear/8.1.fear-04.wav,fear
8/session1/fear/8.1.fear-02.wav,fear
8/session1/fear/8.1.fear-10.wav,fear
8/session1/fear/8.1.fear-09.wav,fear
8/session1/fear/8.1.fear-06.wav,fear
8/session1/fear/8.1.fear-08.wav,fear
8/session3/neutral/8.3.neutral-04.wav,neutral
8/session3/neutral/8.3.neutral-05.wav,neutral
8/session3/neutral/8.3.neutral-10.wav,neutral
8/session3/neutral/8.3.neutral-06.wav,neutral
8/session3/neutral/8.3.neutral-02.wav,neutral
8/session3/neutral/8.3.neutral-07.wav,neutral
8/session3/neutral/8.3.neutral-03.wav,neutral
8/session3/neutral/8.3.neutral-08.wav,neutral
8/session3/neutral/8.3.neutral-01.wav,neutral
8/session3/neutral/8.3.neutral-09.wav,neutral
8/session3/sarcastic/8.3.sarcastic-08.wav,sarcastic
8/session3/sarcastic/8.3.sarcastic-01.wav,sarcastic
8/session3/sarcastic/8.3.sarcastic-02.wav,sarcastic
8/session3/sarcastic/8.3.sarcastic-04.wav,sarcastic
8/session3/sarcastic/8.3.sarcastic-07.wav,sarcastic
8/session3/sarcastic/8.3.sarcastic-06.wav,sarcastic
